drill_id,drill_name,category,field_size_yds,players_min,players_max,positions,attributes,equipment,difficulty,description,duration_minutes,field_type,setup_data,coaching_points,intensity,coach_rating,personal_notes,times_used,last_used_date,diagram_path,diagram_metadata
COND_002,Dribble Intervals,Conditioning,20x30,6,14,ALL,dribbling stamina,cones balls,intermediate,"30 seconds dribble, 15 seconds recovery.",,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
COND_003,Sprint-to-Finish Reps,Conditioning,25x20,4,10,"FWD,MID",finishing speed,balls cones,intermediate,Sprint from cone to finish first-time on service.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
COND_004,Defensive Recovery Runs,Conditioning,30x20,6,12,"DEF,GK",defending pace,cones balls,intermediate,Recover from central line into defending shape repeatedly.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
COND_005,1v1 Continuous Channel,Conditioning,15x20,4,8,ALL,pace dribbling,cones balls,intermediate,Continuous 1v1 in narrow lane creates repeated sprint demand.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
SSG_001,4v4 + 2 Neutrals,SSG,30x25,10,12,ALL,possession passing,cones bibs balls,intermediate,Neutrals help maintain possession and find central pockets.,,half,"{""players"": [{""x"": 20, ""y"": 15, ""team"": ""A"", ""label"": ""1""}, {""x"": 25, ""y"": 25, ""team"": ""A"", ""label"": ""2""}, {""x"": 20, ""y"": 35, ""team"": ""A"", ""label"": ""3""}, {""x"": 15, ""y"": 25, ""team"": ""A"", ""label"": ""4""}, {""x"": 30, ""y"": 15, ""team"": ""B"", ""label"": ""5""}, {""x"": 35, ""y"": 25, ""team"": ""B"", ""label"": ""6""}, {""x"": 30, ""y"": 35, ""team"": ""B"", ""label"": ""7""}, {""x"": 40, ""y"": 25, ""team"": ""B"", ""label"": ""8""}], ""equipment"": [{""x"": 0, ""y"": 20, ""type"": ""goal""}, {""x"": 0, ""y"": 30, ""type"": ""goal""}, {""x"": 50, ""y"": 20, ""type"": ""goal""}, {""x"": 50, ""y"": 30, ""type"": ""goal""}, {""x"": 0, ""y"": 0, ""type"": ""cone""}, {""x"": 50, ""y"": 0, ""type"": ""cone""}, {""x"": 0, ""y"": 50, ""type"": ""cone""}, {""x"": 50, ""y"": 50, ""type"": ""cone""}], ""movements"": []}",Transition speed crucial | Maintain defensive shape | Exploit space behind defense,high,5,Perfect for game situations. Players stay engaged.,0,,assets/diagrams/SSG_001.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
SSG_002,3-Goal Game,SSG,30x30,8,12,ALL,decision_making finishing,cones goals balls,intermediate,Teams score on any of three small goals to promote switching.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,assets/diagrams/SSG_002.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
SSG_003,End Zone Game,SSG,35x25,8,12,ALL,passing movement,cones balls,intermediate,Score by receiving in opponent’s end zone.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
SSG_004,Conditioned Play: Two-Touch,SSG,40x30,10,14,ALL,first_touch speed,cones bibs balls,intermediate,Forces quick decisions and body positioning.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
SSG_005,Counterattack SSG,SSG,36x28,8,12,"FWD,MID",transition finishing,cones balls,intermediate,Immediate counterattacking moments after each turnover.,,full,{},Focus on fundamentals | Encourage communication | Positive reinforcement,high,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
TAC_001,Creating Overloads,Tactical,30x40,8,14,"MID,FWD",decision_making possession,cones bibs balls,advanced,Work on numerical superiority and exploiting open channels.,20.0,custom,"{""players"": [{""x"": 20, ""y"": 20, ""team"": ""A"", ""label"": ""1""}, {""x"": 25, ""y"": 30, ""team"": ""A"", ""label"": ""2""}, {""x"": 20, ""y"": 40, ""team"": ""A"", ""label"": ""3""}, {""x"": 35, ""y"": 20, ""team"": ""B"", ""label"": ""4""}, {""x"": 30, ""y"": 30, ""team"": ""B"", ""label"": ""5""}, {""x"": 35, ""y"": 40, ""team"": ""B"", ""label"": ""6""}, {""x"": 27, ""y"": 30, ""team"": ""neutral"", ""label"": ""N""}], ""equipment"": [{""x"": 15, ""y"": 15, ""type"": ""cone""}, {""x"": 40, ""y"": 15, ""type"": ""cone""}, {""x"": 15, ""y"": 45, ""type"": ""cone""}, {""x"": 40, ""y"": 45, ""type"": ""cone""}], ""movements"": [{""from_x"": 20, ""from_y"": 30, ""to_x"": 27, ""to_y"": 30, ""type"": ""pass""}, {""from_x"": 27, ""from_y"": 30, ""to_x"": 20, ""to_y"": 40, ""type"": ""pass""}]}",Recognize numerical advantage | Support at angles | Quick combination play,medium,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
TAC_002,Building From Back,Tactical,40x50,8,14,"DEF,GK,MID",passing structure,cones bibs balls,advanced,"Shape, movement, and timing to exit pressure and connect lines.",20.0,full,{},Patience in possession | Scan before receiving | Switch play when under pressure,medium,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 25, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 25, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 57.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 57.5, ""y"": 50}], ""cones"": [{""x"": 32.5, ""y"": 15}, {""x"": 32.5, ""y"": 55}, {""x"": 47.5, ""y"": 15}, {""x"": 47.5, ""y"": 55}], ""arrows"": [{""from"": [25, 20], ""to"": [57.5, 20], ""type"": ""pass""}, {""from"": [25, 50], ""to"": [57.5, 50], ""type"": ""pass""}]}"
TAC_003,Pressing Triggers,Tactical,30x30,6,12,ALL,pressing awareness,cones bibs balls,advanced,Identify cues for team press and coordinate first two lines.,20.0,full,{},Communication is key | Recognize game situations | Quick decision making,medium,4,Works well with intermediate players. Need more space for advanced.,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 30, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 30, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 55.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 55.0, ""y"": 50}], ""cones"": [{""x"": 35.0, ""y"": 15}, {""x"": 35.0, ""y"": 55}, {""x"": 45.0, ""y"": 15}, {""x"": 45.0, ""y"": 55}], ""arrows"": [{""from"": [30, 20], ""to"": [55.0, 20], ""type"": ""pass""}, {""from"": [30, 50], ""to"": [55.0, 50], ""type"": ""pass""}]}"
TAC_004,Transition Moments,Tactical,30x40,6,12,ALL,decision_making pace,cones balls,advanced,Switch instantly between defense and attack after possession change.,20.0,full,{},Communication is key | Recognize game situations | Quick decision making,medium,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 35, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 35, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 52.5, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 52.5, ""y"": 50}], ""cones"": [{""x"": 37.5, ""y"": 15}, {""x"": 37.5, ""y"": 55}, {""x"": 42.5, ""y"": 15}, {""x"": 42.5, ""y"": 55}], ""arrows"": [{""from"": [35, 20], ""to"": [52.5, 20], ""type"": ""pass""}, {""from"": [35, 50], ""to"": [52.5, 50], ""type"": ""pass""}]}"
TAC_005,Wide Channel Decision Play,Tactical,20x40,6,12,"MID,FWD",passing crossing,cones balls,advanced,Develop patterns down the flanks and final-third choices.,20.0,full,{},Communication is key | Recognize game situations | Quick decision making,medium,3,,0,,,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 40, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 40, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 50.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 50.0, ""y"": 50}], ""cones"": [{""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}, {""x"": 40.0, ""y"": 15}, {""x"": 40.0, ""y"": 55}], ""arrows"": [{""from"": [40, 20], ""to"": [50.0, 20], ""type"": ""pass""}, {""from"": [40, 50], ""to"": [50.0, 50], ""type"": ""pass""}]}"
TECH_001,Wall Pass Circuit,Technical,20x30,6,12,"MID,FWD",passing first_touch,cones balls,intermediate,Players rotate through passing checkpoints focusing on give-and-go combinations.,25.0,custom,"{""players"": [{""x"": 20, ""y"": 30, ""team"": ""A"", ""label"": ""A""}, {""x"": 40, ""y"": 40, ""team"": ""A"", ""label"": ""B""}, {""x"": 40, ""y"": 20, ""team"": ""A"", ""label"": ""C""}], ""equipment"": [{""x"": 20, ""y"": 30, ""type"": ""cone""}, {""x"": 40, ""y"": 40, ""type"": ""cone""}, {""x"": 40, ""y"": 20, ""type"": ""cone""}], ""movements"": [{""from_x"": 20, ""from_y"": 30, ""to_x"": 40, ""to_y"": 40, ""type"": ""pass""}, {""from_x"": 40, ""from_y"": 40, ""to_x"": 40, ""to_y"": 20, ""type"": ""pass""}, {""from_x"": 40, ""from_y"": 20, ""to_x"": 20, ""to_y"": 30, ""type"": ""pass""}, {""from_x"": 20, ""from_y"": 30, ""to_x"": 40, ""to_y"": 40, ""type"": ""run""}]}",One-touch passing when possible | Move after you pass | Weight of pass for return,medium,5,Players love this drill! Great for building passing accuracy.,0,,assets/diagrams/TECH_001.svg,"{""field_dimensions"": [100, 70], ""players"": [{""label"": ""A"", ""team"": ""blue"", ""x"": 20, ""y"": 20}, {""label"": ""B"", ""team"": ""blue"", ""x"": 20, ""y"": 50}, {""label"": ""C"", ""team"": ""red"", ""x"": 60.0, ""y"": 20}, {""label"": ""D"", ""team"": ""red"", ""x"": 60.0, ""y"": 50}], ""cones"": [{""x"": 30.0, ""y"": 15}, {""x"": 30.0, ""y"": 55}, {""x"": 50.0, ""y"": 15}, {""x"": 50.0, ""y"": 55}], ""arrows"": [{""from"": [20, 20], ""to"": [60.0, 20], ""type"": ""pass""}, {""from"": [20, 50], ""to"": [60.0, 50], ""type"": ""pass""}]}"
